timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,adaptive_shrink_rate,heat_cache_demotion_threshold,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI
2025-11-09T11:37:30,A_BASELINE,23,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,233802956800,0,-12320768,1,1000,4096,75,10,0,0
2025-11-09T11:37:38,A_B_C_FULL,6,4001,294,7.35,2988,74.68,38,1651,50,4056,851,752,88.37,4096,2,5,0.094737,1.210526,88.37,851,752,0,4096,332943982592,0,-12845056,1,1000,4096,75,10,1,1
2025-11-09T11:37:47,A_BASELINE,14,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.54386,0,0,0,0,4096,291253387264,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T11:37:56,A_B_CACHE,19,4001,15,0.37,3267,81.65,29,884,44,2991,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,252049227776,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:38:05,A_C_FULL,3,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,276221853696,0,12517376,1,1000,4096,75,10,0,1
2025-11-09T11:38:05,A_C_FULL,20,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,302740930560,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:38:14,A_B_CACHE,9,4001,15,0.37,3267,81.65,28,870,43,2569,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,234473521152,0,-65536,1,1000,4096,75,10,1,0
2025-11-09T11:38:23,A_BASELINE,9,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.550877,0,0,0,0,4096,234433019904,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T11:38:32,A_B_CACHE,3,4001,15,0.37,3267,81.65,30,958,43,2752,0,0,0,4096,2,0,0.101754,0.494737,0,0,0,0,4096,253163143168,0,65536,1,1000,4096,75,10,1,0
2025-11-09T11:38:40,A_C_FULL,29,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,519220953088,0,0,1,1000,4096,75,10,0,1
2025-11-09T11:38:49,A_BASELINE,5,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.101754,0.519298,0,0,0,0,4096,282260799488,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:38:57,A_B_C_FULL,5,4001,294,7.35,2988,74.68,39,1797,82,2993720,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,437354496000,0,65536,1,1000,4096,75,10,1,1
2025-11-09T11:39:06,A_BASELINE,12,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.536842,0,0,0,0,4096,265699852288,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:39:06,A_BASELINE,13,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.54386,0,0,0,0,4096,273898602496,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:39:06,A_BASELINE,6,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.098246,0.522807,0,0,0,0,4096,249283805184,0,0,1,1000,4096,75,10,0,0
2025-11-09T11:39:15,A_C_FULL,2,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,260365811712,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T11:39:15,A_C_FULL,16,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,282199654400,0,-1310720,1,1000,4096,75,10,0,1
2025-11-09T11:39:15,A_C_FULL,27,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,319405621248,0,196608,1,1000,4096,75,10,0,1
2025-11-09T11:39:15,A_C_FULL,12,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.196491,0,0,0,0,4096,429792362496,0,65536,1,1000,4096,75,10,0,1
2025-11-09T11:39:24,A_B_CACHE,5,4001,15,0.37,3267,81.65,30,947,43,2719,0,0,0,4096,2,0,0.098246,0.526316,0,0,0,0,4096,248914575360,0,0,1,1000,4096,75,10,1,0
2025-11-09T11:39:32,A_BASELINE,17,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.101754,0.522807,0,0,0,0,4096,217035964416,0,131072,1,1000,4096,75,10,0,0
2025-11-09T11:39:40,A_B_CACHE,30,4001,15,0.37,3267,81.65,27,801,42,2527,0,0,0,4096,2,0,0.098246,0.547368,0,0,0,0,4096,223308939264,0,5701632,1,1000,4096,75,10,1,0
2025-11-09T11:39:48,A_C_FULL,8,0,0,0,0,0,0,0,0,0,0,0,0,4096,2,0,0.112281,0.2,0,0,0,0,4096,290848571392,0,-2752512,1,1000,4096,75,10,0,1
2025-11-09T11:39:56,A_B_CACHE,21,4001,15,0.37,3267,81.65,31,1061,43,2790,0,0,0,4096,2,0,0.098246,0.522807,0,0,0,0,4096,229611798528,0,917504,1,1000,4096,75,10,1,0
2025-11-09T11:40:03,A_B_C_FULL,9,4001,294,7.35,2988,74.68,40,1808,49,3650,851,752,88.37,4096,2,5,0.094737,1.207018,88.37,851,752,0,4096,331889377280,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T11:40:11,A_B_CACHE,12,4001,15,0.37,3267,81.65,33,1177,43,2518,0,0,0,4096,2,0,0.098246,0.529825,0,0,0,0,4096,226113814528,0,1376256,1,1000,4096,75,10,1,0
