timestamp,configuration,run_number,total_lookups,cache_hits,cache_hit_percent,bucket_hits,bucket_hit_percent,cache_hit_latency_ns,cache_hit_stddev_ns,bucket_search_latency_ns,bucket_search_stddev_ns,context_predictions_total,context_correct,context_accuracy_percent,rolling_window_width,decay_slope,hot_word_count,stale_word_ratio,avg_word_heat,prefetch_accuracy_percent,prefetch_attempts,prefetch_hits,window_tuning_checks,final_effective_window_size,vm_workload_duration_ns_q48,cpu_temp_delta_c_q48,cpu_freq_delta_mhz_q48,decay_rate_q16,decay_min_interval_ns,rolling_window_size,adaptive_shrink_rate,heat_cache_demotion_threshold,enable_hotwords_cache,enable_pipelining
2025-11-09T23:30:11,A_C_FULL,42,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.073684,1.171930,0.00,0,0,0,4096,345628213248,0,-65536,1,1000,4096,75,10,0,1
2025-11-09T23:30:11,A_C_FULL,55,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,3,0.066667,0.880702,0.00,0,0,0,4096,330279026688,0,65536,1,1000,4096,75,10,0,1
2025-11-09T23:30:11,A_C_FULL,24,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.094737,1.329825,0.00,0,0,0,4096,320818249728,0,-131072,1,1000,4096,75,10,0,1
2025-11-09T23:30:19,A_BASELINE,55,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.445614,0.00,0,0,0,4096,271406202880,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:30:19,A_BASELINE,33,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.354386,0.00,0,0,0,4096,264933933056,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:30:27,A_B_C_FULL,41,4001,905,22.62,2377,59.41,33,1223,56,4447,851,752,88.37,4096,0.33,6,0.080702,1.708772,88.37,851,752,0,4096,376045371392,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:30:35,A_B_CACHE,44,4001,694,17.35,2588,64.68,29,922,50,3395,0,0,0.00,4096,0.33,4,0.070175,1.445614,0.00,0,0,0,4096,273803575296,0,131072,1,1000,4096,75,10,1,0
2025-11-09T23:30:35,A_B_CACHE,55,4001,683,17.07,2599,64.96,30,1025,51,3449,0,0,0.00,4096,0.33,5,0.091228,1.270175,0.00,0,0,0,4096,280681644032,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:30:42,A_C_FULL,5,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.277193,0.00,0,0,0,4096,347278540800,0,65536,1,1000,4096,75,10,0,1
2025-11-09T23:30:49,A_B_CACHE,83,4001,687,17.17,2595,64.86,29,927,49,3201,0,0,0.00,4096,0.33,5,0.091228,1.505263,0.00,0,0,0,4096,274673172480,0,131072,1,1000,4096,75,10,1,0
2025-11-09T23:30:49,A_B_CACHE,76,4001,828,20.69,2454,61.33,27,803,51,3966,0,0,0.00,4096,0.33,5,0.094737,1.508772,0.00,0,0,0,4096,298919264256,0,-65536,1,1000,4096,75,10,1,0
2025-11-09T23:30:57,A_C_FULL,65,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.382456,0.00,0,0,0,4096,323314909184,0,-131072,1,1000,4096,75,10,0,1
2025-11-09T23:31:04,A_B_C_FULL,2,4001,902,22.54,2380,59.49,33,1334,57,4617,851,752,88.37,4096,0.33,6,0.080702,1.691228,88.37,851,752,0,4096,383151570944,0,-327680,1,1000,4096,75,10,1,1
2025-11-09T23:31:12,A_B_CACHE,79,4001,692,17.30,2590,64.73,50,321548,51,3447,0,0,0.00,4096,0.33,4,0.070175,1.207018,0.00,0,0,0,4096,270506131456,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:31:19,A_BASELINE,32,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.087719,1.589474,0.00,0,0,0,4096,277330001920,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:31:27,A_B_C_FULL,88,4001,906,22.64,2376,59.39,33,1290,55,4062,851,752,88.37,4096,0.33,6,0.077193,1.600000,88.37,851,752,0,4096,368843161600,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:31:34,A_C_FULL,54,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.392982,0.00,0,0,0,4096,314373439488,0,-1572864,1,1000,4096,75,10,0,1
2025-11-09T23:31:41,A_B_CACHE,69,4001,723,18.07,2559,63.96,29,996,47,2998,0,0,0.00,4096,0.33,4,0.070175,1.308772,0.00,0,0,0,4096,263074414592,0,13369344,1,1000,4096,75,10,1,0
2025-11-09T23:31:49,A_BASELINE,5,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.757895,0.00,0,0,0,4096,254295015424,0,3538944,1,1000,4096,75,10,0,0
2025-11-09T23:31:56,A_B_C_FULL,72,4001,900,22.49,2382,59.54,32,1205,55,4191,851,752,88.37,4096,0.33,6,0.080702,1.712281,88.37,851,752,0,4096,374587981824,0,-655360,1,1000,4096,75,10,1,1
2025-11-09T23:32:03,A_C_FULL,67,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.087719,1.326316,0.00,0,0,0,4096,378732478464,0,65536,1,1000,4096,75,10,0,1
2025-11-09T23:32:11,A_BASELINE,23,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.445614,0.00,0,0,0,4096,275800391680,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:32:11,A_BASELINE,90,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.091228,1.277193,0.00,0,0,0,4096,260481679360,0,-327680,1,1000,4096,75,10,0,0
2025-11-09T23:32:18,A_B_CACHE,51,4001,698,17.45,2584,64.58,27,835,50,3650,0,0,0.00,4096,0.33,4,0.070175,1.129825,0.00,0,0,0,4096,262594363392,0,262144,1,1000,4096,75,10,1,0
2025-11-09T23:32:18,A_B_CACHE,18,4001,695,17.37,2587,64.66,30,1009,50,3331,0,0,0.00,4096,0.33,4,0.070175,1.354386,0.00,0,0,0,4096,265933553664,0,-131072,1,1000,4096,75,10,1,0
2025-11-09T23:32:26,A_B_C_FULL,34,4001,887,22.17,2395,59.86,34,1324,58,5543,851,752,88.37,4096,0.33,5,0.087719,1.596491,88.37,851,752,0,4096,423025180672,0,-65536,1,1000,4096,75,10,1,1
2025-11-09T23:32:33,A_B_CACHE,41,4001,682,17.05,2600,64.98,29,977,50,3625,0,0,0.00,4096,0.33,5,0.091228,1.298246,0.00,0,0,0,4096,283976728576,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:32:40,A_BASELINE,89,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.624561,0.00,0,0,0,4096,250004111360,0,-131072,1,1000,4096,75,10,0,0
2025-11-09T23:32:48,A_B_C_FULL,85,4001,894,22.34,2388,59.69,32,1174,55,4269,851,752,88.37,4096,0.33,6,0.080702,1.715789,88.37,851,752,0,4096,373808103424,0,2162688,1,1000,4096,75,10,1,1
2025-11-09T23:32:55,A_B_CACHE,57,4001,691,17.27,2591,64.76,29,894,50,3400,0,0,0.00,4096,0.33,5,0.070175,1.529825,0.00,0,0,0,4096,275370475520,0,0,1,1000,4096,75,10,1,0
2025-11-09T23:33:03,A_BASELINE,24,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.371930,0.00,0,0,0,4096,267880693760,0,-65536,1,1000,4096,75,10,0,0
2025-11-09T23:33:10,A_B_CACHE,33,4001,685,17.12,2597,64.91,29,965,52,5946,0,0,0.00,4096,0.33,5,0.070175,1.515789,0.00,0,0,0,4096,274670419968,0,-131072,1,1000,4096,75,10,1,0
2025-11-09T23:33:17,A_C_FULL,82,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.378947,0.00,0,0,0,4096,319900024832,0,-589824,1,1000,4096,75,10,0,1
2025-11-09T23:33:17,A_C_FULL,31,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.094737,1.392982,0.00,0,0,0,4096,315678720000,0,12713984,1,1000,4096,75,10,0,1
2025-11-09T23:33:25,A_BASELINE,20,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.287719,0.00,0,0,0,4096,261926617088,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:33:25,A_BASELINE,66,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.070175,1.235088,0.00,0,0,0,4096,260911923200,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:33:25,A_BASELINE,79,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.084211,1.242105,0.00,0,0,0,4096,300107300864,0,0,1,1000,4096,75,10,0,0
2025-11-09T23:33:25,A_BASELINE,73,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.070175,1.480702,0.00,0,0,0,4096,274244239360,0,65536,1,1000,4096,75,10,0,0
2025-11-09T23:33:32,A_B_CACHE,42,4001,694,17.35,2588,64.68,30,1377,51,3595,0,0,0.00,4096,0.33,5,0.094737,1.596491,0.00,0,0,0,4096,316408266752,0,65536,1,1000,4096,75,10,1,0
2025-11-09T23:33:32,A_B_CACHE,8,4001,719,17.97,2563,64.06,28,879,47,2952,0,0,0.00,4096,0.33,5,0.094737,1.722807,0.00,0,0,0,4096,255779143680,0,13893632,1,1000,4096,75,10,1,0
2025-11-09T23:33:39,A_BASELINE,62,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,5,0.091228,1.287719,0.00,0,0,0,4096,282755596288,0,-131072,1,1000,4096,75,10,0,0
2025-11-09T23:33:47,A_B_C_FULL,70,4001,904,22.59,2378,59.44,35,1827,55,4464,851,752,88.37,4096,0.33,6,0.080702,1.554386,88.37,851,752,0,4096,396555255808,0,0,1,1000,4096,75,10,1,1
2025-11-09T23:33:54,A_C_FULL,29,0,0,0.00,0,0.00,0,0,0,0,0,0,0.00,4096,0.33,4,0.063158,1.249123,0.00,0,0,0,4096,341893840896,0,32047104,1,1000,4096,75,10,0,1
2025-11-09T23:34:02,A_B_C_FULL,30,4001,902,22.54,2380,59.49,32,1167,50,3432,851,752,88.37,4096,0.33,6,0.066667,1.603509,88.37,851,752,0,4096,358190481408,0,1245184,1,1000,4096,75,10,1,1
2025-11-09T23:34:02,A_B_C_FULL,59,4001,896,22.39,2386,59.64,33,1260,68,299343,851,752,88.37,4096,0.33,6,0.080702,1.610526,88.37,851,752,0,4096,380343549952,0,-65536,1,1000,4096,75,10,1,1
